2018;2017;2016;3-year average;School name;Country;Programme name;Salary today (US$);Weighted salary (US$);Salary percentage increase;Value for money rank;Career progress rank;Aims achieved (%);Careers service rank;Employed at three months (%);Female faculty (%);Female students (%);Women on board (%);International faculty (%);International students (%);International board (%);International mobility rank;International course experience rank;Languages;Faculty with doctorates (%);Maximum course fee (local currency);Course length (months);Number enrolled 2017/18;Relevant degree;Company internships (%)
46;51;53;50;Kedge Business School;France;Master in Management**;56654;56835;39;81;89;82;54;93 (88);31;50;50;52;38;46;43;19;2;96;ó25,000;30;1048;No;100
48;48;40;45;Toulouse Business School;France/Spain;Master in Management**;58512;58720;38;82;78;82;71;92 (76);46;51;45;47;33;18;50;21;2;93;ó23,100;20;710;No;100
49;58;55;54;University of British Columbia: Sauder;Canada;Master of Management;55702;55702;68;42;94;86;34;71 (95);25;57;26;76;47;32;32;80;0;99;C$42,006;8;91;No;0
50;56;61;56;Tias Business School;Netherlands;International MSc in Business Administration;56266;56266;45;43;49;86;30;96 (91);28;53;30;47;58;20;42;59;0;88;ó19,900;14;93;No;17
51;50;46;49;IAE Aix-Marseille Graduate School of Management;France;MSc in Management;55044;55088;43;19;77;84;43;96 (78);44;57;43;23;47;23;46;58;1;92;ó4,800;16;512;No;100
52;53;46;50;Montpellier Business School;France;Master in Management**;50662;50827;36;87;93;80;63;98 (93);44;50;47;63;33;33;45;23;2;96;ó21,800;30;501;No;100
53;;;;Hult International Business School;US / UK / China / UAE;Master of International Business;63272;63746;39;97;31;86;82;90 (88);38;42;23;55;95;69;7;70;0;62;$31,200;12;980;No;3
53;46;59;53;Queen's University: Smith;Canada;Master of International Business;61683;61683;39;49;61;82;75;75 (79);27;50;28;43;82;41;21;45;0;88;C$74,820;12;98;Yes;9
55;49;;;Cranfield School of Management;UK;Masters in Management;55408;55408;53;78;33;82;22;100 (65);33;44;26;45;64;32;28;97;0;92;£22,000;12;66;No;66
55;55;35;48;Rennes School of Business;France;Master in Management**;55696;56332;37;71;46;82;96;94 (67);36;52;50;91;24;38;44;22;0;91;ó23,100;28;528;No;100
55;60;41;52;Louvain School of Management;Belgium;Master in Business Engineering;63084;63591;44;12;68;85;84;91 (77);38;33;33;23;8;50;57;34;2;100;ó8,350;23;207;Yes;100
58;54;43;52;ICN Business School;France;Master in Management**;54896;54493;41;75;60;80;89;93 (78);50;55;43;53;34;23;64;10;2;90;ó21,200;30;499;No;100
59;68;73;67;Warsaw School of Economics;Poland;Master in Management;49291;49291;97;8;11;84;94;100 (63);43;62;45;2;18;10;82;76;1;96;Zloty 0;23;122;No;19
60;59;46;55;Institut Mines-T_l_com Business School;France;Integrated Master in Management**;58366;58214;30;30;95;85;79;86 (85);54;47;55;49;21;45;48;27;1;89;ó13,250;30;325;No;100
61;73;72;69;Lancaster University Management School;UK;MSc in Management;46578;46578;60;47;71;86;18;89 (91);33;48;38;59;74;31;75;83;0;95;£17,500;12;50;No;49
