, ,2017,2016,2015,3-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted salary (US$)[2],Salary percentage increase,Value[3],Career progress rank,Aims achieved[4],Careers service rank,Employment[5],Female faculty (%),Female students (%),Wom. board[6],Intl. faculty[7],Intl. students[8],Intl. board[9],Intl. mobility[10],Intl. course[11],Languages[12],PhD Faculty[13],Maximum course fee (local currency),Prog. length[14],Number enrolled 2016/17,Relevant degree,Internships[15]
39,,40.0,34,34,36,Neoma Business School,France,Master in Management,588285127.0,585065099.0,44.0,601.0,55.0,830.0,39.0,91 (85)2,44.0,51.0,577.0,560.0,280.0,577.0,585.0,205.0,20.0,890.0,22440,220.0,1255.0,No,1000.0
40,,41.0,-,-,-,Frankfurt School of Finance and Management,Germany,Master in Management,88223.0,88223.0,32.0,42.0,71.0,88.0,10.0,97 (92),18.0,49.0,21.0,23.0,26.0,32.0,94.0,48.0,1.0,98.0,32500,23.0,69.0,No,20.0
41,,42.0,31,40,38,Vlerick Business School,Belgium,Masters in General Management,647681342.0,62633885.0,45.0,240.0,26.0,861.0,9.0,96 (96)3,29.0,42.0,125.0,329.0,173.0,4151.0,643.0,405.0,10.0,951.0,14500,100.0,189.0,No,1000.0
42,,43.0,45,38,42,Solvay Brussels School of Economics and Management,Belgium,Master in Business Engineering,584373247.0,584913323.0,51.0,42.0,62.0,862.0,33.0,93 (76)1,25.0,36.0,520.0,383.0,111.0,520.0,4710.0,316.0,20.0,940.0,9360,250.0,207.0,Yes,1000.0
43,,43.0,77,58,59,IQS/FJU/USF,Spain / Taiwan / US,Master in Global Entrepreneurship Management,512683048.0,512683048.0,42.0,945.0,24.0,871.0,75.0,100 (70)35,37.0,55.0,3312.0,134.0,756.0,1313.0,216.0,127.0,11.0,9329.0,27000,120.0,40.0,No,1000.0
44,,45.0,51,54,50,Aalto University,Finland,MSc in Economics and Business Administration,615324696.0,613634646.0,49.0,30.0,69.0,842.0,68.0,89 (93)3,35.0,44.0,430.0,242.0,224.0,4314.0,864.0,391.0,20.0,970.0,232,240.0,513.0,No,365.0
45,,46.0,59,-,-,Queen's University: Smith,Canada,Master of International Business,600977488.0,600977488.0,39.0,406.0,31.0,821.0,78.0,73 (73)13,31.0,46.0,295.0,490.0,822.0,440.0,226.0,442.0,0.0,990.0,"C$73,382",124.0,96.0,Yes,52.0
46,,47.0,56,57,53,Durham University Business School,UK,MSc in Management,543062264.0,543062264.0,76.0,5212.0,60.0,863.0,41.0,96 (54)5,37.0,63.0,2019.0,670.0,860.0,5314.0,626.0,785.0,0.0,971.0,19000,120.0,311.0,No,1.0
47,,48.0,40,36,41,Toulouse Business School,France,Master in Management,585623836.0,588094146.0,40.0,694.0,70.0,831.0,70.0,90 (74)2,40.0,49.0,400.0,431.0,236.0,300.0,446.0,2610.0,20.0,902.0,22300,200.0,681.0,No,1000.0
48,,49.0,-,-,-,Cranfield School of Management,UK,Masters in Management,54175.0,54175.0,56.0,70.0,6.0,80.0,49.0,90 (53),31.0,44.0,19.0,64.0,84.0,33.0,17.0,89.0,0.0,95.0,22000,12.0,62.0,No,43.0
49,,50.0,46,55,50,IAE Aix-Marseille Graduate School of Management,France,MSc in Management,531803743.0,534644294.0,43.0,166.0,41.0,854.0,47.0,94 (86)2,37.0,56.0,7022.0,183.0,343.0,179.0,436.0,463.0,10.0,922.0,4255,163.0,505.0,No,1000.0
50,,51.0,53,45,50,Kedge Business School,France,Master in Management,542494208.0,543564174.0,37.0,759.0,59.0,800.0,53.0,93 (87)4,28.0,50.0,4511.0,495.0,3715.0,410.0,392.0,191.0,20.0,964.0,25000,300.0,1102.0,No,1000.0
51,,52.0,54,62,56,University of Edinburgh Business School,UK,MSc in Management,527443013.0,527443013.0,60.0,786.0,17.0,852.0,61.0,84 (48)5,41.0,66.0,394.0,624.0,905.0,392.0,5020.0,8424.0,0.0,943.0,21350,120.0,61.0,No,44.0
52,,53.0,46,41,47,Montpellier Business School,France,Master in Management,501154354.0,501454261.0,37.0,903.0,81.0,790.0,71.0,98 (92)1,47.0,53.0,470.0,531.0,317.0,330.0,523.0,243.0,20.0,987.0,21000,300.0,475.0,No,1000.0
53,,54.0,43,50,49,ICN Business School,France,Master in Management,529472038.0,526632446.0,34.0,7712.0,86.0,823.0,56.0,88 (73)2,45.0,52.0,227.0,502.0,322.0,123.0,459.0,84.0,20.0,883.0,20500,341.0,491.0,No,1000.0
54,,55.0,35,-,-,Rennes School of Business,France,Master in Management,543641040.0,546891020.0,36.0,716.0,46.0,803.0,80.0,92 (72)0,33.0,49.0,600.0,905.0,163.0,4010.0,4117.0,228.0,0.0,875.0,21500,284.0,526.0,No,1000.0
55,,56.0,61,65,61,"Tias Business School, Tilburg University",Netherlands,International MSc in Business Administration,544712983.0,544712983.0,49.0,438.0,53.0,860.0,50.0,91 (94)1,23.0,44.0,303.0,434.0,474.0,203.0,314.0,564.0,0.0,901.0,19900,140.0,102.0,No,3321.0
56,,57.0,61,60,59,Nyenrode Business Universiteit,Netherlands,MSc in Management,653424047.0,653424047.0,56.0,545.0,90.0,903.0,40.0,85 (92)12,28.0,37.0,253.0,152.0,172.0,1210.0,741.0,623.0,0.0,950.0,20500,141.0,115.0,No,191.0
57,,58.0,55,52,55,University of British Columbia: Sauder,Canada,Master of Management,515595205.0,515595205.0,51.0,468.0,93.0,832.0,27.0,90 (98)5,23.0,58.0,2110.0,770.0,513.0,318.0,327.0,761.0,0.0,1001.0,"C$42,006",111.0,55.0,No,0.0
58,,59.0,46,33,46,Institut Mines-Télécom Business School,France,Integrated Master in Management,555963966.0,561544720.0,28.0,231.0,92.0,850.0,59.0,88 (93)4,48.0,50.0,2214.0,517.0,2010.0,2817.0,5616.0,2811.0,10.0,755.0,16740,310.0,305.0,No,1000.0
59,,60.0,41,43,48,Louvain School of Management,Belgium,Master in Business Engineering,5698878.0,57321176.0,26.0,124.0,78.0,832.0,77.0,89 (95)2,38.0,35.0,332.0,222.0,111.0,504.0,5417.0,292.0,20.0,1000.0,8350,230.0,206.0,Yes,1000.0
60,,61.0,64,63,63,Leeds University Business School,UK,MSc in International Business,4183732.0,428421037.0,54.0,9210.0,20.0,900.0,26.0,95 (61)9,41.0,59.0,5814.0,444.0,852.0,1716.0,650.0,830.0,0.0,863.0,24000,140.0,186.0,No,162.0
61,,62.0,49,51,54,Essca School of Management,France,Essca Master in Management,539161827.0,534571501.0,35.0,675.0,74.0,831.0,35.0,90 (85)0,38.0,50.0,6010.0,532.0,124.0,600.0,836.0,4112.0,20.0,921.0,18500,220.0,611.0,No,1000.0
62,,63.0,89,-,-,Henley Business School,UK,MSc in Management,544525996.0,544525996.0,76.0,495.0,15.0,812.0,84.0,70 (39)8,47.0,63.0,360.0,491.0,873.0,290.0,761.0,894.0,0.0,880.0,19200,120.0,71.0,No,0.0
63,,64.0,58,49,57,University of Strathclyde Business School,UK,Strathclyde MSc in Business and Management,497271300.0,497271300.0,62.0,7413.0,35.0,873.0,85.0,94 (81)1,36.0,45.0,350.0,493.0,943.0,470.0,8135.0,685.0,0.0,811.0,17000,120.0,51.0,No,231.0
64,,65.0,65,64,65,NHH Norwegian School of Economics,Norway,MSc in Economics and Business Administration,678646590.0,675446515.0,43.0,145.0,85.0,841.0,94.0,82 (49)3,26.0,40.0,450.0,301.0,121.0,180.0,756.0,492.0,10.0,994.0,"NKr2,360",222.0,616.0,No,103.0
65,,66.0,66,66,66,"University of Cologne, Faculty of Management, Economics and Social Sciences",Germany,MSc in Business Administration,757365122.0,766805972.0,35.0,250.0,37.0,852.0,88.0,77 (25)7,21.0,48.0,6010.0,81.0,112.0,100.0,845.0,734.0,0.0,10012.0,1044,241.0,275.0,No,207.0
