, ,2016,2015,2014,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Maximum course fee (local currency),Prog. length[18],Number enrolled 2015/16,Relevant degree,Internships[19]
31,,31.0,40,36,361,Vlerick Business School,Belgium,Master in General Management,634262427.0,617481748.0,249.0,228.0,851.0,130.0,99 (95)2,290.0,403.0,170.0,231.0,141.0,920.0,677.0,3515.0,10.0,944.0,"€14,500",100.0,154.0,No,1000.0
32,,33.0,36,44,384,Shanghai Jiao Tong University: Antai,China,Master of Management Science and Engineering,656191072.0,656191072.0,11.0,2711.0,880.0,125.0,100 (100)0,291.0,521.0,160.0,30.0,2926.0,357.0,8910.0,7410.0,10.0,921.0,"Rmb50,000",300.0,31.0,No,10019.0
33,,34.0,34,40,362,Neoma Business School,France,Master in Management,537012007.0,534071873.0,590.0,108.0,832.0,310.0,93 (86)2,451.0,551.0,5012.0,565.0,285.0,5012.0,531.0,256.0,20.0,893.0,"€22,440",221.0,1213.0,No,1000.0
34,,35.0,-,23,-,Rennes School of Business,France,Master in Management,53324.0,53669.0,77.0,7.0,83.0,66.0,92 (71),33.0,51.0,60.0,85.0,13.0,30.0,24.0,14.0,0.0,82.0,"€20,800",24.0,507.0,No,100.0
35,,36.0,23,31,30,Warwick Business School,UK,MSc in Management,536181938.0,536181938.0,724.0,3521.0,881.0,3618.0,97 (92)1,313.0,575.0,222.0,780.0,944.0,222.0,478.0,855.0,10.0,1000.0,"£26,500",140.0,210.0,No,0.0
36,,36.0,32,37,351,Copenhagen Business School,Denmark,MSc in General Management,649203446.0,650893465.0,74.0,538.0,881.0,751.0,80 (92)1,331.0,460.0,279.0,401.0,584.0,90.0,297.0,564.0,0.0,900.0,"Kr280,000",331.0,569.0,Yes,90.0
37,,38.0,24,24,298,City University: Cass,UK,MSc in Management,58601995.0,586011064.0,7830.0,511.0,872.0,473.0,72 (90)8,263.0,586.0,505.0,712.0,910.0,572.0,171.0,644.0,0.0,951.0,"£23,000",120.0,146.0,No,22.0
38,,39.0,46,56,479,St Petersburg State University Graduate School of Management,Russia,Master in Management,536223532.0,535303440.0,1115.0,258.0,881.0,3919.0,94 (74)7,503.0,566.0,110.0,50.0,209.0,280.0,4112.0,386.0,10.0,911.0,"Rub880,000",220.0,110.0,No,1000.0
39,,40.0,36,30,354,Toulouse Business School,France,Master in Management,547262982.0,546632961.0,733.0,214.0,822.0,562.0,92 (61)1,402.0,543.0,400.0,421.0,294.0,300.0,380.0,160.0,20.0,920.0,"€19,800",200.0,697.0,Yes,1000.0
40,,41.0,43,40,414,Louvain School of Management,Belgium,Master in Business Engineering,569103737.0,574973911.0,810.0,334.0,850.0,571.0,91 (96)6,350.0,361.0,310.0,241.0,122.0,540.0,7127.0,318.0,20.0,1000.0,"€8,350",230.0,239.0,Yes,1000.0
41,,42.0,42,35,406,Kozminski University,Poland,Master in Management,746647974.0,746647974.0,264.0,8137.0,883.0,149.0,92 (89)2,330.0,481.0,205.0,220.0,131.0,609.0,837.0,438.0,10.0,880.0,"Zloty 22,400",240.0,85.0,No,486.0
42,,43.0,50,51,486,ICN Business School,France,Master in Management,509092297.0,502172046.0,657.0,4810.0,851.0,5311.0,90 (64)0,481.0,510.0,150.0,481.0,3010.0,150.0,365.0,1219.0,20.0,852.0,"€19,200",330.0,505.0,No,1000.0
43,,44.0,39,47,432,University of Sydney Business School,Australia,Master of Management,627866520.0,627866520.0,504.0,470.0,851.0,4011.0,81 (75)3,362.0,6414.0,5038.0,292.0,720.0,4040.0,187.0,536.0,11.0,850.0,"A$63,000",150.0,160.0,No,1000.0
44,,45.0,38,39,415,Solvay Brussels School of Economics and Management,Belgium,Master in Business Engineering,55190162.0,55168260.0,23.0,404.0,844.0,221.0,92 (75)3,210.0,352.0,523.0,356.0,122.0,527.0,578.0,3710.0,20.0,944.0,"€9,360",250.0,226.0,Yes,1000.0
45,,46.0,33,25,354,Institut Mines-Télécom Business School,France,Master in Management,51630759.0,514341249.0,222.0,444.0,851.0,5024.0,92 (76)4,491.0,513.0,360.0,449.0,1021.0,450.0,403.0,396.0,10.0,804.0,"€16,740",310.0,302.0,No,1000.0
46,,46.0,41,32,404,Montpellier Business School,France,Master in Management,45761373.0,45884266.0,8713.0,456.0,794.0,483.0,99 (95)0,480.0,521.0,476.0,529.0,386.0,330.0,558.0,214.0,20.0,912.0,"€21,000",300.0,507.0,No,1000.0
47,,46.0,55,54,522,IAE Aix-Marseille Graduate School of Management,France,MSc in Management,494371871.0,491701382.0,109.0,152.0,811.0,427.0,92 (84)5,444.0,570.0,4817.0,152.0,3111.0,2619.0,491.0,497.0,10.0,902.0,"€4,255",195.0,508.0,No,1000.0
48,,49.0,51,-,-,Essca School of Management,France,Essca Master in Management,520893076.0,519563215.0,625.0,3218.0,843.0,1814.0,90 (79)0,363.0,484.0,5017.0,513.0,831.0,604.0,777.0,293.0,20.0,913.0,"€18,500",220.0,506.0,No,1000.0
49,,50.0,52,65,56,Tongji University School of Economics and Management,China,MSc in Enterprise Management,524432624.0,524432624.0,67.0,132.0,832.0,193.0,100 (100)1,360.0,4912.0,303.0,73.0,3417.0,3012.0,8510.0,480.0,10.0,890.0,"Rmb90,000",300.0,88.0,Yes,1000.0
50,,51.0,54,46,502,Aalto University,Finland,MSc in Economics and Business Administration,568361543.0,567171738.0,33.0,742.0,861.0,658.0,92 (96)6,351.0,485.0,430.0,221.0,182.0,5714.0,829.0,403.0,20.0,972.0,€232,240.0,537.0,No,3115.0
51,,52.0,59,49,530,Católica Lisbon School of Business and Economics,Portugal,International MSc in Management,449614705.0,449894677.0,3310.0,569.0,841.0,204.0,97 (97)1,303.0,626.0,245.0,402.0,6630.0,240.0,4517.0,272.0,20.0,953.0,"€13,560",191.0,76.0,Yes,618.0
52,,53.0,45,42,475,Kedge Business School,France,Master in Management,500412711.0,501822838.0,663.0,389.0,801.0,514.0,89 (85)3,262.0,491.0,342.0,440.0,2214.0,412.0,377.0,200.0,20.0,921.0,"€23,500",300.0,1248.0,No,1000.0
53,,54.0,62,-,-,University of Edinburgh Business School,UK,MSc in Management,497316787.0,497316787.0,8420.0,676.0,872.0,552.0,89 (53)5,406.0,606.0,350.0,580.0,955.0,416.0,3011.0,606.0,0.0,913.0,"£21,350",120.0,58.0,No,2.0
54,,55.0,52,49,52,University of British Columbia: Sauder,Canada,Master of Management,463541573.0,463541573.0,5415.0,625.0,850.0,4316.0,95 (92)22,250.0,481.0,312.0,773.0,485.0,233.0,3915.0,779.0,0.0,990.0,"C$40,783",101.0,46.0,No,0.0
55,,56.0,57,57,572,Durham University Business School,UK,MSc in Management,565704169.0,565704505.0,401.0,8011.0,834.0,5416.0,91 (65)1,340.0,626.0,390.0,671.0,862.0,390.0,565.0,730.0,0.0,981.0,"£18,500",122.0,280.0,No,11.0
