, ,Rank in 2014,Rank in 2013,Rank in 2012,Three-year average,School name,Country,Programme name,Salary today (US$)[1],Weighted sal. ($)[2],Value[3],Careers[4],Aims achieved[5],Placements[6],Employment[7],Wom. faculty[8],Wom. students[9],Wom. board[10],Intl. faculty[11],Intl. students[12],Intl. board[13],Intl. mobility[14],Intl. course[15],Languages[16],PhD Faculty[17],Course fee[18],Prog. length[19],Enrolments[20],Relevant degree,Internships[21]
33,,34.0,420,440,40,Antwerp Management School,Belgium,Master of Global Management,450762745.0,450762745.0,1911.0,3416.0,513.0,308.0,90 (86)1,311.0,496.0,200.0,287.0,550.0,900.0,453.0,206.0,10.0,856.0,27500,102.0,758.0,No,1000.0
34,,35.0,250,280,29,Kozminski University,Poland,Master in Management,563733040.0,566213041.0,1216.0,3328.0,266.0,2810.0,98 (89)7,321.0,490.0,180.0,223.0,183.0,640.0,661.0,340.0,10.0,880.0,"Zloty21,800",243.0,786.0,No,386.0
35,,36.0,290,320,32,Vlerick Business School,Belgium,Masters in General Management,57838382.0,57768914.0,91.0,1911.0,521.0,143.0,94 (99)1,291.0,3014.0,176.0,247.0,134.0,922.0,561.0,409.0,10.0,901.0,14000,100.0,14926.0,No,1000.0
36,,37.0,410,330,37,Maastricht University School of Business and Economics,Netherlands,MSc in International Business,56575137.0,56871107.0,1410.0,547.0,315.0,628.0,96 (80)4,173.0,374.0,2113.0,512.0,654.0,646.0,276.0,423.0,10.0,9711.0,13000,197.0,588220.0,No,22.0
37,,37.0,400,430,40,Copenhagen Business School,Denmark,Master of Science in General Management,565941350.0,564701045.0,63.0,371.0,2310.0,703.0,80 (91)7,322.0,463.0,270.0,386.0,548.0,90.0,320.0,506.0,0.0,922.0,"Kr12,500",284.0,68958.0,Yes,90.0
38,,39.0,310,250,32,Solvay Brussels School of Economics and Management,Belgium,Master in Business Engineering,52887683.0,52766674.0,154.0,567.0,3813.0,170.0,97 (91)2,171.0,321.0,4124.0,381.0,91.0,5538.0,373.0,291.0,20.0,980.0,9360,231.0,1979.0,Yes,1000.0
39,,40.0,390,-,-,Neoma Business School,France,Master in Management,4940743.0,4916249.0,5210.0,2018.0,544.0,299.0,88 (84)0,481.0,545.0,1213.0,431.0,281.0,25.0,471.0,213.0,20.0,751.0,19800,295.0,145673.0,No,1000.0
40,,40.0,280,290,32,Louvain School of Management,Belgium,Master in Business Engineering,488851087.0,493291329.0,212.0,1518.0,334.0,379.0,93 (73)2,330.0,3011.0,270.0,231.0,83.0,270.0,497.0,256.0,20.0,1000.0,7690,240.0,18311.0,Yes,1000.0
41,,42.0,380,-,-,Kedge Business School,France,Master in Management,46622619.0,46708572.0,583.0,278.0,633.0,444.0,89 (83)3,231.0,501.0,331.0,400.0,370.0,24.0,281.0,161.0,20.0,913.0,21600,306.0,137316.0,No,1000.0
42,,43.0,330,360,37,University of Strathclyde Business School,UK,Strathclyde MBM,417905248.0,417905248.0,7024.0,129.0,407.0,415.0,91 (79)2,372.0,495.0,350.0,321.0,8410.0,470.0,164.0,592.0,0.0,866.0,"£14,500",120.0,459.0,No,0.0
43,,44.0,470,450,45,Shanghai Jiao Tong University: Antai,China,Master of Management Science and Engineering,62797789.0,62797789.0,48.0,5510.0,280.0,83.0,100 (100)0,291.0,381.0,143.0,30.0,2520.0,414.0,702.0,571.0,10.0,902.0,"Rmb24,500",301.0,402.0,No,7716.0
44,,45.0,560,510,51,University College Dublin: Smurfit,Ireland,MSc Business,560248510.0,560428494.0,1316.0,631.0,4619.0,499.0,59 (80)13,315.0,424.0,202.0,472.0,562.0,4113.0,218.0,677.0,0.0,1000.0,14500,120.0,9023.0,Yes,0.0
45,,46.0,430,390,43,Aalto University,Finland,MSc in Economics and Business Administration,518607.0,515299.0,162.0,6120.0,2511.0,475.0,100 (81)8,354.0,463.0,430.0,183.0,152.0,430.0,641.0,375.0,21.0,942.0,103,246.0,49346.0,No,101.0
46,,47.0,490,-,-,University of Sydney Business School,Australia,Master of Management,53452158.0,53452158.0,421.0,3924.0,4523.0,2636.0,57 (81)10,360.0,635.0,120.0,301.0,477.0,0.0,94.0,680.0,0.0,844.0,"A$47,500",131.0,6214.0,No,1000.0
47,,48.0,540,500,51,Nova School of Business and Economics,Portugal,International Masters in Management,414023928.0,425625064.0,394.0,690.0,681.0,218.0,85 (95)1,442.0,582.0,332.0,294.0,333.0,3327.0,2522.0,269.0,20.0,1003.0,15400,2011.0,24513.0,No,534.0
48,,49.0,-,-,-,University of British Columbia: Sauder,Canada,Master of Management,48212.0,48212.0,30.0,59.0,65.0,36.0,84 (98),22.0,59.0,22.0,79.0,63.0,19.0,33.0,60.0,0.0,98.0,"C$38,819",11.0,49.0,No,0.0
49,,49.0,520,640,55,Católica Lisbon School of Business and Economics,Portugal,Master of Science in Management,390621592.0,390621592.0,4323.0,662.0,4710.0,120.0,97 (98)2,331.0,465.0,291.0,408.0,325.0,244.0,554.0,286.0,20.0,982.0,8820,162.0,21957.0,No,4423.0
50,,51.0,600,530,55,ICN Business School,France,Master in Management,44528862.0,44041572.0,621.0,4215.0,550.0,3912.0,85 (56)18,410.0,513.0,153.0,441.0,175.0,150.0,348.0,272.0,21.0,784.0,17520,3410.0,49065.0,No,1000.0
51,,52.0,530,540,53,"Tias Business School, Tilburg University",Netherlands,International MSc in Business Administration,479181989.0,479181989.0,5113.0,602.0,345.0,558.0,87 (96)1,288.0,465.0,170.0,424.0,585.0,0.0,416.0,586.0,0.0,951.0,19900,140.0,505.0,No,0.0
52,,53.0,590,460,53,"University of Cologne, Faculty of Management, Economics and Social Sciences",Germany,MSc Business Administration,65256657.0,65463887.0,3226.0,2328.0,431.0,5313.0,62 (34)4,197.0,464.0,5030.0,62.0,94.0,100.0,653.0,493.0,10.0,8520.0,912,240.0,2816.0,No,3047.0
53,,54.0,540,400,49,IAE Aix-Marseille Graduate School of Management,France,MSc in Management,479041167.0,47562825.0,223.0,2812.0,695.0,5721.0,59 (80)13,400.0,612.0,187.0,1910.0,2316.0,2721.0,436.0,399.0,10.0,883.0,4255,213.0,14517.0,No,1000.0
54,,55.0,460,660,56,Alliance Manchester Business School,UK,MSc International Businesss and Management,450671397.0,450671397.0,539.0,4940.0,497.0,601.0,74 (77)19,342.0,564.0,183.0,332.0,942.0,184.0,385.0,6411.0,0.0,883.0,"£17,300",120.0,1013.0,No,0.0
55,,56.0,650,-,-,St Petersburg State University Graduate School of Management,Russia,Master of International Business,400253043.0,400253043.0,3515.0,358.0,4814.0,482.0,86 (67)51,524.0,7011.0,111.0,22.0,186.0,286.0,440.0,312.0,10.0,926.0,"Rub760,000",231.0,601.0,No,1000.0
56,,57.0,500,610,56,Durham University Business School,UK,MSc Management,471542235.0,468172571.0,3620.0,708.0,5010.0,3815.0,84 (61)5,365.0,6511.0,389.0,644.0,891.0,381.0,542.0,634.0,0.0,933.0,"£17,500",120.0,28446.0,No,0.0
57,,58.0,510,540,54,University of Bath School of Management,UK,MSc in Management,36900729.0,36900729.0,683.0,5732.0,3519.0,543.0,90 (65)15,334.0,611.0,310.0,637.0,7413.0,120.0,468.0,434.0,0.0,990.0,"£17,500",120.0,977.0,No,0.0
58,,59.0,450,600,55,University of Bradford School of Management,UK,MSc Management,407857744.0,407857744.0,5019.0,4723.0,6410.0,582.0,86 (38)8,4110.0,452.0,360.0,292.0,920.0,360.0,3513.0,685.0,0.0,825.0,"£13,500",120.0,10352.0,No,0.0
59,,60.0,610,460,56,NHH Norwegian School of Economics,Norway,MSc in Economics and Business Administration,52505461.0,52392427.0,89.0,671.0,212.0,5614.0,83 (49)15,243.0,385.0,369.0,263.0,113.0,90.0,632.0,382.0,10.0,933.0,"NKr2,200",231.0,66131.0,Yes,104.0
60,,61.0,580,700,63,Leeds University Business School,UK,MSc International Business,371853635.0,371853635.0,696.0,383.0,364.0,505.0,90 (63)3,406.0,565.0,404.0,433.0,954.0,4711.0,511.0,651.0,0.0,821.0,"£17,500",142.0,16546.0,No,41.0
61,,62.0,670,610,63,Lancaster University Management School,UK,MSc Management,405072245.0,405072245.0,563.0,582.0,1629.0,527.0,82 (64)21,301.0,639.0,250.0,464.0,912.0,316.0,360.0,623.0,0.0,883.0,"£17,000",120.0,982.0,No,7127.0
62,,63.0,620,680,64,Politecnico di Milano School of Management,Italy,Master of Science in Management Engineering,419461753.0,419461753.0,373.0,220.0,445.0,3218.0,78 (59)1,252.0,369.0,335.0,1.0,8216.0,734.0,193.0,619.0,0.0,602.0,6717,254.0,12916.0,No,351.0
63,,64.0,-,-,-,La Rochelle Business School,France,Master in Management,40063.0,39770.0,65.0,62.0,70.0,64.0,83 (83),41.0,50.0,17.0,31.0,12.0,33.0,50.0,12.0,2.0,71.0,19000,25.0,274.0,No,100.0
64,,65.0,-,-,-,Tongji University School of Economics and Management,China,Master in Management,35547.0,35547.0,34.0,26.0,61.0,61.0,99 (100),38.0,60.0,17.0,4.0,19.0,58.0,69.0,45.0,1.0,87.0,"Rmb144,000",30.0,185.0,Yes,100.0
65,,66.0,640,590,63,Nyenrode Business Universiteit,Netherlands,Master of Science in Management,548282182.0,548612216.0,472.0,5135.0,222.0,334.0,74 (82)12,2011.0,386.0,1111.0,254.0,162.0,1114.0,622.0,533.0,0.0,616.0,17250,124.0,10929.0,No,1003.0
66,,67.0,700,690,69,BI Norwegian Business School,Norway,Master of Science in Business,509981275.0,509981275.0,318.0,652.0,176.0,5115.0,92 (68)3,252.0,423.0,620.0,308.0,111.0,120.0,671.0,510.0,0.0,701.0,"NKr82,600",231.0,25311.0,Yes,1916.0
67,,68.0,690,-,-,Warsaw School of Economics,Poland,MSc in Management,382602622.0,382602622.0,207.0,3610.0,673.0,6331.0,88 (43)5,440.0,614.0,673.0,10.0,114.0,1129.0,681.0,522.0,10.0,951.0,Zloty0,231.0,25721.0,No,815.0
68,,69.0,660,630,66,"University of Economics, Prague",Czech Republic,Business Economics and Management,36043697.0,361771011.0,2413.0,4825.0,664.0,672.0,98 (85)4,505.0,671.0,440.0,92.0,271.0,2811.0,598.0,5417.0,10.0,711.0,3600,262.0,404134.0,No,112.0
69,,70.0,680,670,68,Corvinus University of Budapest,Hungary,MSc in Management and Leadership,39640512.0,39640501.0,1815.0,648.0,424.0,653.0,88 (70)4,431.0,688.0,116.0,95.0,135.0,6127.0,487.0,442.0,10.0,801.0,"Ft1,580,000",211.0,18425.0,No,0.0
